datetime,000651.SZ,002294.SZ,002572.SZ,300376.SZ,300498.SZ,601318.SH,cash,commission,total,returns,equity_curve,drawdown
2017-06-07,0.0,15190.414426370895,0.0,0.0,0.0,15189.911048388334,72024.75543081005,98.354,102405.08090556928,0.0030607470379238055,1.0240508090556928,0.0
2017-06-08,12442.812205322067,15153.258672683993,0.0,0.0,0.0,15731.70479566225,60143.84828468061,102.813,103471.62395834892,0.010414942728897758,1.0347162395834892,0.0
2017-06-09,12370.730994216636,15534.181289197924,0.0,0.0,0.0,15903.495012030882,60143.84828468061,102.813,103952.25558012605,0.004645057295810773,1.0395225558012604,0.0
2017-06-12,12895.905637114116,15418.047749879881,0.0,0.0,0.0,16164.47136517831,60143.84828468061,102.813,104622.27303685293,0.006445434521720861,1.0462227303685294,0.0
2017-06-13,12820.387213703178,15422.688582252595,0.0,0.0,0.0,0.0,76304.01664985891,107.116,104547.09244581468,-0.0007185906868203418,1.0454709244581468,0.0007518059103825969
2017-06-14,12504.595435855243,15171.838552462255,0.0,0.0,0.0,12250.840493732738,63730.618248888735,110.496,103657.89273093897,-0.008505255326316852,1.0365789273093897,0.0096438030591397
2017-06-15,12542.34680947609,15195.066637286076,0.0,0.0,0.0,0.0,75978.07874262147,113.87599999999999,103715.49218938363,0.0005556688152457134,1.0371549218938363,0.009067808474693129
2017-06-16,12353.559405299859,15064.996866870906,0.0,0.0,0.0,12631.204556266246,63483.99490142707,117.39899999999999,103533.75572986409,-0.0017522595292484011,1.035337557298641,0.010885173069888454
2017-06-19,12806.65090360804,15868.654189731,0.0,0.0,0.0,13134.292802537771,63483.99490142707,117.39899999999999,105293.59279730388,0.016997713016723592,1.0529359279730388,0.0
2017-06-20,12806.65090360804,15915.101740544342,0.0,0.0,0.0,13009.871646819332,63483.99490142707,117.39899999999999,105215.61919239878,-0.0007405351345091127,1.052156191923988,0.0007797360490509053
2017-06-21,13228.847763947286,16008.014104505637,0.0,0.0,0.0,0.0,76490.3435482464,120.92199999999998,105727.20541669932,0.004862265015663114,1.0572720541669933,0.0
